method,nx,cfl,final_time,n_steps,l1_error,l2_error,linf_error,mass_error
cfweno,160,0.1,0.25000000000000006,400,2.1337908297343602e-07,2.3699766913181943e-07,3.3514409869539463e-07,0.0
cfweno,160,0.5,0.25,80,3.162023452906426e-07,3.5118993446146983e-07,4.96561833207565e-07,0.0
cfweno,160,0.9,0.24750000000000003,44,2.34698227028158e-08,2.6069747197253883e-08,3.686782457101856e-08,0.0
