cfl,nx,dx,n_steps,l1_error,l2_error,linf_error
0.1,80,0.0125,96,6.236449261319555e-06,7.119491887475815e-06,1.2678160819179496e-05
0.1,160,0.00625,192,1.5410927232020755e-06,1.757230151569229e-06,3.1072357511430226e-06
0.1,320,0.003125,384,3.7528468688520503e-07,4.2756360786505967e-07,7.532650951880271e-07
0.3,80,0.0125,32,9.771115505367856e-06,1.1157423130304634e-05,1.9967707292289916e-05
0.3,160,0.00625,64,2.420224523388276e-06,2.761567230548918e-06,4.9257924368273365e-06
0.3,320,0.003125,128,5.945838009557836e-07,6.777765044420723e-07,1.2054393618843307e-06
0.5,80,0.0125,20,1.248134309310145e-05,1.4230882677701044e-05,2.5309176499233033e-05
0.5,160,0.00625,39,3.1047869477614234e-06,3.5401940464602097e-06,6.297048297909669e-06
0.5,320,0.003125,77,7.680889764497684e-07,8.752875130778596e-07,1.5549816487769874e-06
