method,nx,cfl,final_time,predictor_iterations,reference,l1_error,l2_error,linf_error,mass_error
rusanov,100,0.5,0.15,0,cfweno_burgers_nx2560,0.002230538033940618,0.0024959609259737766,0.003789090032623621,0.0
cfweno_burgers,100,0.5,0.15,1,cfweno_burgers_nx2560,1.2288215662190627e-05,1.4441789462520304e-05,2.792811718310695e-05,1.4210854715202004e-16
